Recourse,Type,Topic,Subtopic,Link,Observation,
,,Streamlit,app,https://github.com/jpvazquezz/AceleraDev_DataScience/tree/master/Streamlit,Mapa Cidades Brasileiras,
,,Streamlit,app,https://www.linkedin.com/posts/klismam-pereira_streamlit-activity-6685283328498679808-O_-e,Planilhas,
,,Streamlit,app,https://www.linkedin.com/posts/andreangeluci_datascience-codenation-aceleradev-activity-6686064071009177600-O9ie,Votos,
,,Streamlit,app,https://analisador-estoque-streamlit.herokuapp.com/,Mobilidade de Estoque com Recomendação de Clientes,
,,Streamlit,app,https://afternoon-lake-97607.herokuapp.com/,,
,,Streamlit,app,https://ciopapp.herokuapp.com/,,
,,Streamlit,app,https://ica-cocktail-solver.herokuapp.com/,,
,,Streamlit,app,https://fashionmnistigti.herokuapp.com/,redes neurais MNIST,
,,Streamlit,app,https://codenation-eda-app.herokuapp.com/,redes neurais MNIST,
,,Streamlit,app,https://www.linkedin.com/posts/glaucio-drumond-1734a018b_codenation-datascience-datascientist-activity-6681687822149144576-0qIg,redes neurais MNIST,
,,Streamlit,app,https://github.com/ViniViniAntunes/Prevendo_Valor_de_Aluguel_em_SP,Valor Aluguel SP,
,,Streamlit,app,https://www.youtube.com/watch?v=3je_ruSK0rA,Valor Aluguel SP,
,,Streamlit,Deploy via Heroku,https://youtu.be/skpiLtEN3yk,,
,,Streamlit,Deploy via Heroku,https://towardsdatascience.com/from-streamlit-to-heroku-62a655b7319,,
,,Streamlit,Deploy via Heroku,https://www.youtube.com/watch?v=mQ7rGcE766k,,
,,Streamlit,Deploy via Heroku,https://medium.com/@gustavo_domingues/como-fazer-deploy-de-sua-aplica%C3%A7%C3%A3o-streamlit-no-heroku-5fc1d2609df7,,
,,Streamlit,Blog,https://www.youtube.com/watch?v=5lExrH-eNCw,,
,,Redução Dimensionalidade,UMAP,https://pair-code.github.io/understanding-umap/,,
,,sklearn,Pipelines,,https://medium.com/data-hackers/como-usar-pipelines-no-scikit-learn-1398a4cc6ae9,
,,Aplicações,Partidos Congresso,https://jornal.usp.br/ciencias/modelo-matematico-busca-entender-comportamento-dos-partidos-politicos-no-congresso/,,
,,Visualization,,https://github.com/DanOliveira-DS/codenation/blob/master/semana%203/EDA_v01.ipynb,,
,,Visualization,,https://towardsdatascience.com/a-gentle-introduction-to-exploratory-data-analysis-f11d843b8184,,
,,Visualization,,https://medium.com/@alark/we-need-more-interactive-data-visualization-tools-for-the-web-in-python-ad80ec3f440e,,
,,Visualization,,https://levelup.gitconnected.com/learn-hiplot-in-6-mins-facebooks-python-library-for-machine-learning-visualizations-330129d558ac,,
